,Unnamed: 0,id,bedroom,bathroom,building_area,land_area,price,latitude,longitude,log_price
595,3166,71447,3,2,96,66,1200000000,-7.3319359,112.7961437,20.905587394573697
596,3173,571348,2,2,97,97,990000000,-7.2962751,112.7499932,20.71321550210301
597,3176,368355,3,3,97,90,1700000000,-7.2855106,112.7241509,21.253894088596816
598,3195,98286,3,2,98,135,2850000000,-7.2838041,112.7054975,21.770584831577846
600,3200,710675,3,3,98,75,2250000000,-7.3007791,112.6420852,21.534196053607182
601,3217,64248,2,2,98,56,1400000000,-7.3218945,112.7760924,21.05973807428191
602,3229,84377,4,3,98,98,1800000000,-7.3149101,112.717229,21.311052502404085
603,3245,893635,2,1,99,133,999000000,-7.30400179999999,112.7315995,20.722265337613827
604,3248,558403,7,3,100,50,750000000,-7.2693243,112.7701369,20.435583765827964
605,3249,627617,3,2,100,180,2300000000,-7.3237151,112.7273536,21.556174960316298
606,3257,674088,3,2,100,50,700000000,-7.2381452,112.7730003,20.36659089443625
607,3262,560095,2,2,100,167,800000000,-7.3052647,112.6451629,20.5001222868822
608,3265,816951,5,1,100,200,1200000000,-7.3129713,112.7945447,20.905587394573697
609,3277,337752,3,1,100,90,900000000,-7.2441829,112.7242143,20.617905322399697
611,3300,320549,2,1,100,135,1550000000,-7.2795861,112.680877,21.161520768522728
612,3301,121568,3,2,100,120,1275000000,-7.3205662,112.7789761,20.966212016341114
613,3308,41459,4,4,100,242,2500000000,-7.2604914,112.7992377,21.639556569220566
614,3311,618892,4,2,100,135,2000000000,-7.2734472,112.7858025,21.416413018006356
615,3313,278048,3,3,100,67,1200000000,-7.3178234,112.7791613,20.905587394573697
617,3332,846714,2,1,100,120,1250000000,-7.3094426,112.7462115,20.94640938906062
618,3335,444425,3,2,100,66,1600000000,-7.2734751,112.7697169,21.193269466817146
619,3336,22190,3,2,100,102,985000000,-7.33132299999999,112.6884017,20.70815220015159
620,3342,315676,4,3,100,91,1800000000,-7.2741987,112.7686842,21.311052502404085
621,3355,437465,3,2,100,135,1850000000,-7.278182,112.6409759,21.338451476577184
622,3359,235592,3,2,100,180,2100000000,-7.32385189999999,112.7301796,21.465203182151978
623,3362,345175,3,2,100,104,1250000000,-7.242181,112.7820494,20.94640938906062
624,3366,841432,3,2,100,54,675000000,-7.2586448,112.7921163,20.330223250318284
625,3370,492874,3,2,100,144,2500000000,-7.2971423,112.6544016,21.639556569220566
626,3381,569872,3,2,100,84,1250000000,-7.3013322,112.7748342,20.94640938906062
627,3388,146016,4,3,100,132,1100000000,-7.3252492,112.6536775,20.818576017659826
628,3396,126576,3,1,100,50,550000000,-7.32482299999999,112.770769,20.125428838008972
629,3409,141011,2,1,100,180,2000000000,-7.29573119999999,112.644839,21.416413018006356
630,3410,857794,3,2,100,50,750000000,-7.2376448,112.7726163,20.435583765827964
631,3422,734268,3,1,100,122,1600000000,-7.3160008,112.7927871,21.193269466817146
632,3429,160550,3,2,100,135,2000000000,-7.2902253,112.7752369,21.416413018006356
633,3437,114117,3,2,100,100,1100000000,-7.2779565,112.6988263,20.818576017659826
634,3446,254934,4,1,100,90,750000000,-7.2770917,112.7167022,20.435583765827964
635,3461,426739,3,1,100,108,1300000000,-7.3237645,112.714439,20.985630102183134
636,3462,11643,2,1,100,73,650000000,-7.3217124,112.706274,20.292482922392416
637,3463,117480,3,2,100,50,675000000,-7.2386497,112.7539449,20.330223250318284
638,3471,355035,4,2,100,100,950000000,-7.2609938,112.6715747,20.671972543611492
639,3474,277536,3,2,100,91,850000000,-7.30908689999999,112.8081776,20.560746908625106
641,3483,760747,2,1,100,124,4092000000,-7.3388522,112.7805639,22.13229968528017
642,3488,666932,3,2,100,100,1000000000,-7.2782817,112.6996195,20.72326583794641
643,3499,829067,1,1,100,600,3000000000,-7.2351788,112.6144806,21.821878125947855
644,3530,936339,2,1,100,200,2500000000,-7.3223364,112.7643655,21.639556569220566
645,3532,821372,5,3,100,360,4500000000,-7.2552607,112.7561333,22.227343233944907
646,3536,701636,3,2,100,150,1900000000,-7.2879518,112.64837,21.365119723645122
647,3550,976103,6,1,100,144,1600000000,-7.2831201,112.7558574,21.193269466817146
648,3561,246564,3,1,100,139,1800000000,-7.30998019999999,112.7613933,21.311052502404085
649,3562,922676,7,1,100,100,1600000000,-7.2988994,112.7098525,21.193269466817146
650,3568,225347,4,3,100,112,2000000000,-7.3248379,112.7792506,21.416413018006356
651,3575,318957,3,3,100,93,2000000000,-7.285134,112.7720122,21.416413018006356
652,3578,647410,2,1,100,120,1350000000,-7.3334,112.7472,21.02337043013749
653,3585,991748,3,2,100,84,1120000000,-7.30864819999999,112.8216622,20.83659452314627
654,3606,473056,3,1,100,102,985000000,-7.3302053,112.6836073,20.70815220015159
655,3622,204263,2,2,100,137,950000000,-7.239903,112.6378047,20.671972543611492
656,3628,776914,3,3,100,110,1500000000,-7.2505716,112.7790261,21.12873094572124
657,3630,408746,3,2,100,50,650000000,-7.2468693,112.7741347,20.292482922392416
658,3631,331626,3,1,100,84,1000000000,-7.2534917,112.6349104,20.72326583794641
659,3653,99173,3,1,100,105,985000000,-7.2897295,112.8123046,20.70815220015159
660,3656,357712,2,2,100,120,1350000000,-7.3142156,112.6836434,21.02337043013749
661,3665,177960,4,3,100,135,1800000000,-7.3119842,112.7664922,21.311052502404085
662,3666,541620,3,2,100,97,2150000000,-7.3276166,112.7137227,21.4887336795511
663,3671,294105,3,1,100,126,1250000000,-7.3252131,112.8005298,20.94640938906062
664,3672,236712,5,2,100,144,1750000000,-7.2843224,112.7554176,21.28288162545326
665,3732,562463,3,2,100,105,550000000,-7.25052269999999,112.7320213,20.125428838008972
666,3737,436966,3,2,100,135,2200000000,-7.2800009,112.6437188,21.511723197765225
667,3751,401359,2,1,100,105,1200000000,-7.3414673,112.8018336,20.905587394573697
668,3757,565639,4,4,100,120,1600000000,-7.2406528,112.7803604,21.193269466817146
669,3760,817034,3,2,100,189,2750000000,-7.2834886,112.6562491,21.734866748988527
670,3761,685706,3,1,100,155,1200000000,-7.28744009999999,112.7472413,20.905587394573697
671,3795,595355,2,1,100,103,1000000000,-7.322621,112.7114411,20.72326583794641
