2025-02-15 13:57:56 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\CNN_House-Price-Prediction\src\artifacts\data_prediction\image_1739602670922.tiff' failed: No such file or directory
2025-02-15 13:58:18 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:58:18 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:58:19 | house_price | INFO | model load succesfully
2025-02-15 13:58:19 | house_price | INFO | Load scaller succes
2025-02-15 13:58:22 | house_price | ERROR | failed to get satellite image
2025-02-15 13:58:22 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\CNN_House-Price-Prediction\src\artifacts\data_prediction\image_1739602699197.tiff' failed: No such file or directory
2025-02-15 13:59:44 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:59:44 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:59:44 | house_price | INFO | model load succesfully
2025-02-15 13:59:44 | house_price | INFO | Load scaller succes
2025-02-15 13:59:47 | house_price | ERROR | failed to get satellite image
2025-02-15 13:59:47 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\CNN_House-Price-Prediction\src\artifacts\data_prediction\image_1739602784875.tiff' failed: No such file or directory
2025-02-15 14:01:46 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 14:01:46 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 14:01:46 | house_price | INFO | model load succesfully
2025-02-15 14:01:46 | house_price | INFO | Load scaller succes
2025-02-15 14:03:29 | house_price | ERROR | failed to get satellite image
2025-02-15 14:03:29 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\CNN_House-Price-Prediction\src\artifacts\data_prediction\image_1739602906981.tiff' failed: No such file or directory
2025-02-15 14:05:16 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 14:05:16 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 14:05:17 | house_price | INFO | model load succesfully
2025-02-15 14:05:17 | house_price | INFO | Load scaller succes
2025-02-15 14:05:20 | house_price | ERROR | failed to get satellite image
2025-02-15 14:05:20 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\CNN_House-Price-Prediction\src\artifacts\data_prediction\image_1739603117101.tiff' failed: No such file or directory
2025-02-15 14:41:20 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 14:41:20 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 14:41:21 | house_price | INFO | model load succesfully
2025-02-15 14:41:21 | house_price | INFO | Load scaller succes
2025-02-15 14:41:21 | house_price | ERROR | failed to get satellite image
2025-02-15 14:41:21 | house_price | INFO | Failed Extract Feature: GDAL is not installed. Install it with pip install GDAL
2025-02-15 14:44:56 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 14:44:56 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 14:44:57 | house_price | INFO | model load succesfully
2025-02-15 14:44:57 | house_price | INFO | Load scaller succes
